ZAT,pop_total_2018,pop60plus_2018,n_manzanas,pct60plus
584,6332,958,31,15.129500947567909
585,2827,477,18,16.873010258224266
586,1926,292,13,15.160955347871235
587,3551,608,34,17.121937482399325
588,4723,784,33,16.59961888630108
589,5290,892,39,16.862003780718336
590,10730,1689,52,15.740913327120223
591,8845,1387,44,15.681175805539853
592,7969,1433,45,17.982180951185846
593,9993,1610,59,16.111277894526168
594,2002,334,14,16.683316683316683
595,8012,1002,45,12.506240639041438
596,4317,646,20,14.964095436645819
597,7961,1135,36,14.257002889084285
598,17324,1924,104,11.105980143154007
599,7091,926,30,13.058806938372586
600,15715,1791,116,11.396754692968502
601,6564,861,34,13.117001828153565
602,10139,1101,48,10.859059078804616
603,1746,236,15,13.516609392898053
604,4347,410,71,9.431792040487693
605,1527,139,19,9.102815979043877
606,16148,2133,100,13.209066138221452
607,7811,1077,60,13.78824734348995
608,4948,704,38,14.227970897332256
609,4664,688,34,14.751286449399657
610,4414,470,16,10.647938377888536
611,13401,1671,123,12.469218715021267
612,7125,1239,55,17.389473684210525
613,5439,975,34,17.926089354660782
614,12133,1868,58,15.396027363389104
615,9791,1533,41,15.657236237360841
616,13647,1747,60,12.801348281673627
617,9389,1218,46,12.972627542869315
618,21065,2849,90,13.524804177545692
619,2313,316,12,13.661910938175529
620,15749,761,13,4.832052828751031
621,37202,3380,132,9.085533035858287
622,11139,720,107,6.463775922434689
623,8768,587,92,6.694799270072993
624,3547,257,36,7.245559627854525
625,18052,1829,159,10.131841347219146
626,21020,2196,156,10.447193149381542
627,13665,2041,56,14.935967800951335
628,10181,1268,47,12.454572242412336
629,16237,1580,69,9.730861612366816
630,20,4,1,20
631,13399,1721,15,12.844242107619971
632,21,1,1,4.761904761904762
633,8812,1536,49,17.430776214253292
634,8964,1328,42,14.814814814814815
635,1286,144,6,11.19751166407465
636,7379,1038,53,14.06694674075078
637,9437,1061,81,11.242979760517114
638,4157,593,38,14.265095020447438
639,9362,1171,56,12.508011108737449
640,16531,2172,251,13.138951061641764
641,35,0,1,0
642,4296,541,21,12.593109869646183
643,12523,1399,69,11.171444542042641
644,7774,920,43,11.834319526627219
645,6948,630,50,9.067357512953368
648,6966,590,45,8.469710020097617
649,7870,950,63,12.071156289707751
650,11909,1437,76,12.066504324460492
651,5069,829,88,16.354310514894458
652,61,3,1,4.918032786885246
653,12936,1792,75,13.852813852813853
654,18282,1810,133,9.900448528607374
655,8834,748,67,8.467285487887706
656,12967,1095,54,8.444512994524562
657,17403,2415,48,13.876917772797794
658,6087,782,46,12.847051092492196
660,5508,433,27,7.861292665214234
661,12154,1364,52,11.222642751357577
662,14632,2260,106,15.445598687807545
663,12259,1485,72,12.113549229137776
664,12468,1032,121,8.277189605389799
665,25361,2391,169,9.427861677378653
666,11722,682,103,5.818119774782461
667,18257,1691,164,9.262200799693268
668,1254,37,3,2.9505582137161084
669,8003,757,86,9.45895289266525
670,6855,819,65,11.947483588621445
672,9451,929,64,9.829647656332662
673,3034,318,20,10.48121292023731
674,13573,1464,139,10.786119501952406
675,4575,329,34,7.191256830601093
677,9984,1359,60,13.611778846153847
